,ville,climat,modele
0,Albury,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
1,Badgerys Creek,Sec,randomforestclassifier_sec_model.joblib
2,Cobar,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
3,Coffs Harbour,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
4,Moree,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
5,Norah Head,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
6,Norfolk Island,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
7,Sydney,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
8,Sydney Airport,Sec,randomforestclassifier_sec_model.joblib
9,Wagga Wagga,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
10,Williamtown,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
11,Wollongong,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
12,Canberra,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
13,Tuggeranong,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
14,Ballarat,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
15,Bendigo,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
16,Sale,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
17,Melbourne Airport,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
18,Melbourne,Sec,randomforestclassifier_sec_model.joblib
19,Mildura,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
20,Portland,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
21,Watsonia,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
22,Dartmoor,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
23,Brisbane,Sec,randomforestclassifier_sec_model.joblib
24,Cairns,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
25,Gold Coast,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
26,Townsville,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
27,Mount Gambier,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
28,Nuriootpa,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
29,Woomera,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
30,Witchcliffe,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
31,Pearce RAAF,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
32,Perth Airport,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
33,Perth,Sec,randomforestclassifier_sec_model.joblib
34,Walpole,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
35,Hobart,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
36,Launceston,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
37,Alice Springs,Chaud humide,randomforestclassifier_chaud_humide_model.joblib
38,Darwin,Méditerranéen,randomforestclassifier_mediterraneen_model.joblib
39,Katherine,Tempéré froid,randomforestclassifier_tempere_froid_model.joblib
40,Uluru,Sec,randomforestclassifier_sec_model.joblib
